Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
rr,P-01,Ethernet1/1,pe,PE-01,Ethernet1/1,True
rr,P-01,Ethernet2/1,pe,PE-02,Ethernet50/1,True
rr,P-01,Ethernet25/1,rr,P-02,Ethernet25/1,True
rr,P-01,Ethernet26/1,pe,PE-03,Ethernet55/1,True
rr,P-02,Ethernet1/1,pe,PE-04,Ethernet1/1,True
rr,P-02,Ethernet2/1,pe,PE-04,Ethernet2/1,True
rr,P-02,Ethernet4/1,pe,PE-03,Ethernet50/1,True
rr,P-02,Ethernet25/1,rr,P-01,Ethernet25/1,True
rr,P-02,Ethernet26/1,pe,PE-02,Ethernet55/1,True
pe,PE-01,Ethernet1/1,rr,P-01,Ethernet1/1,True
pe,PE-01,Ethernet2/1,pe,PE-02,Ethernet49/1,True
pe,PE-01,Ethernet5/1,,,,True
pe,PE-01,Ethernet5/2,l3_interface,,,True
pe,PE-01,Ethernet5/2.10,l3_interface,,,True
pe,PE-01,Ethernet5/2.100,l3_interface,,,True
pe,PE-02,Ethernet49/1,pe,PE-01,Ethernet2/1,True
pe,PE-02,Ethernet50/1,rr,P-01,Ethernet2/1,True
pe,PE-02,Ethernet52/1,,,,True
pe,PE-02,Ethernet55/1,rr,P-02,Ethernet26/1,True
pe,PE-03,Ethernet50/1,rr,P-02,Ethernet4/1,True
pe,PE-03,Ethernet55/1,rr,P-01,Ethernet26/1,True
pe,PE-04,Ethernet1/1,rr,P-02,Ethernet1/1,True
pe,PE-04,Ethernet2/1,rr,P-02,Ethernet2/1,True
pe,PE-04,Ethernet5/1,,,,True
pe,PE-04,Ethernet5/3,l3_interface,,,True
pe,PE-04,Ethernet5/3.10,l3_interface,,,True
pe,PE-04,Ethernet5/3.200,l3_interface,,,True
